name,url,status,got_type,node_type
Kaeth,Kaeth,Deceased,,Person
Bethany Redwyne,Bethany_Redwyne,Alive,,Person
Ryam Redwyne,Ryam_Redwyne,,,Person
Rhaenys Targaryen,Rhaenys_Targaryen_(Queen_Who_Never_Was),Deceased,,Person
Helaena Targaryen,Helaena_Targaryen,Deceased,,Person
Alysanne Targaryen,Alysanne_Targaryen,Deceased,,Person
Alicent Hightower,Alicent_Hightower,Deceased,,Person
Aegon Targaryen,Aegon_Targaryen_(son_of_Aenys),Deceased,,Person
Rhaena Targaryen,Rhaena_Targaryen_(daughter_of_Aenys),Deceased,,Person
Daenys Targaryen,Daenys_Targaryen,Deceased,,Person
Aenar Targaryen,Aenar_Targaryen,Deceased,,Person
Trial by Seven of ,Trial_by_Seven_of_Duncan_the_Tall,,,Event
House Tallhart,House_Tallhart,,,House
Daena Targaryen,Daena_Targaryen,Deceased,,Person
Barth,Barth,Deceased,,Person
Aemon Blackfyre,Aemon_Blackfyre,Deceased,,Person
Aegon Blackfyre,Aegon_Blackfyre,Deceased,,Person
Serena Blackfyre,Serena_Blackfyre,Deceased,,Person
The Black Cells,Black_Cells,,Dungeon,Location
Aelinor Targaryen,Aelinor_Targaryen,Deceased,,Person
Baelor Targaryen,Baelor_Targaryen_(son_of_Daeron_II),Deceased,,Person
Dyanna Dayne,Dyanna_Dayne,Deceased,,Person
Bears,Bears,Active,Mammal,Animal
Aegon Targaryen,Aegon_Targaryen_(son_of_Rhaegar_and_Elia),Deceased,,Person
Leyton Hightower,Leyton_Hightower,Alive,,Person
Manfred Hightower,Manfred_Hightower,Deceased,,Person
Runcel Hightower,Runcel_Hightower,Deceased,,Person
Dorian Hightower,Dorian_Hightower,Deceased,,Person
Lymond Hightower,Lymond_Hightower,Deceased,,Person
Wildfire Plot,Wildfire_Plot,,,Event
Urrigon Hightower,Urrigon_Hightower,Deceased,,Person
Basilisks,Basilisks,Active,Reptile,Animal
Harwyn Hoare,Harwyn_Hoare,Deceased,,Person
Kingdom of the Stormlands,Kingdom_of_the_Stormlands,,Feudal  hereditary  absolute  monarchy; Kingdom,Location
House Botley,House_Botley,,,House
Damon Marbrand,Damon_Marbrand,Alive,,Person
Ar Noy,Ar_Noy,Ruined,City,Location
Ralf Kenning,Ralf_Kenning,Deceased,,Person
Harlon,Harlon_the_Hunter,Deceased,,Person
Ironborn Invasion of the North,Ironborn_Invasion_of_the_North,,,Event
The Griffin King,Griffin_King,Deceased,,Person
Sea dragons,Sea_dragons,Possibly extinct,Reptile- magical,Animal
Blood,Blood_(horse),Alive,,Animal
Elenei,Elenei,Deceased,,Person
Nissa Nissa,Nissa_Nissa,Deceased,,Person
Orys I,Orys_I,Deceased,,Person
Tanselle,Tanselle,Deceased,,Person
Dorian Hightower's second wife,Dorian_Hightower%27s_second_wife,,,Person
Dorian Hightower's first wife,Dorian_Hightower%27s_first_wife,,,Person
Harrag,Harrag,Alive,,Person
Urzen,Urzen,Deceased,,Person
Aggar,Aggar,Deceased,,Person
Stygg,Stygg,Deceased,,Person
Arson,Arson_Iceaxe,Deceased,,Person
Gelmarr,Gelmarr,Deceased,,Person
Alannys Greyjoy,Alannys_Greyjoy,Deceased,,Person
Maron Greyjoy,Maron_Greyjoy,Deceased,,Person
Rodrik Greyjoy,Rodrik_Greyjoy,Deceased,,Person
Dalton Greyjoy,Dalton_Greyjoy,Deceased,,Person
Vickon Greyjoy,Vickon_Greyjoy,Deceased,,Person
Ceryse Hightower,Ceryse_Hightower,Deceased,,Person
Murmison,Murmison,Deceased,,Person
Battle of Golden Tooth,Battle_of_the_Golden_Tooth,,,Event
Siege of Riverrun,Siege_of_Riverrun,,,Event
Hearteater,Hearteater,,,Weapon
Edmyn Tully,Edmyn_Tully,Deceased,,Person
Minisa Tully,Minisa_Tully,Deceased,,Person
The Age of Heroes,The_Age_of_Heroes,,,HistoriesNLore
Bolton soldier,Bolton_soldier_(Walk_of_Punishment),Deceased,,Person
Tess,Tess,Deceased,,Person
Tristan Mudd,Tristan_Mudd,Deceased,,Person
Mole's Town whore,Mole%27s_Town_whore,Deceased,,Person
Harren Hoare,Harren_Hoare,Deceased,,Person
Quenton Qoherys,Quenton_Qoherys,Deceased,,Person
Eon Hunter,Eon_Hunter,Alive,,Person
High Septon,High_Septon_(Faith_Militant_uprising),Deceased,,Person
Battle of the Seven Stars,Battle_of_the_Seven_Stars,,,Event
Torgold Tollett,Torgold_Tollett,Deceased,,Person
Larys Strong,Larys_Strong,Deceased,,Person
Jon Lynderly,Jon_Lynderly,Alive,,Person
Lannister guard,Lannister_guard_1,Alive,,Person
Morgan's friend,Morgan%27s_friend,Alive,,Person
Morgan,Morgan_(Two_Swords),Alive,,Person
Singing Lannister soldier,Singing_Lannister_soldier,Uncertain,,Person
Lannister soldier,Lannister_soldier_(The_Prince_of_Winterfell),Alive,,Person
Lannister torturer,Lannister_torturer,Alive,,Person
Marq Rankenfell,Marq_Rankenfell,Deceased,,Person
Robin Hill,Robin_Hill,Deceased,,Person
Wounded Lannister,Wounded_Lannister,Alive,,Person
Lannister guardsman,Lannister_guardsman_(Garden_of_Bones),Deceased,,Person
Rennick,Rennick,Deceased,,Person
Lion's Tooth,Lion%27s_Tooth,Lost in the waters of the Trident,,Weapon
Willis Wode,Willis_Wode,Deceased,,Person
Casterly (founder),Casterly_(founder),Deceased,,Person
Lannister guardsman,Lannister_guardsman_(The_Kingsroad),Alive,,Person
Shella Whent,Shella_Whent,Deceased,,Person
Walter Whent,Walter_Whent,Deceased,,Person
Frey soldier,Frey_soldier_2,Deceased,,Person
Roslin Tully,Roslin_Tully,Alive,,Person
Stevron Frey,Stevron_Frey,Deceased,,Person
Bolton soldier,Bolton_man_2,Deceased,,Person
Bolton guard,Bolton_guard_(The_Laws_of_Gods_and_Men),Deceased,,Person
House Erenford,House_Erenford,,,House
House Smallwood,House_Smallwood,,,House
House Mooton,House_Mooton,,,House
Florian,Florian,Deceased,,Person
Bolton soldier,Bolton_soldier_1,Deceased,,Person
Tom,Tom,Deceased,,Person
Dim Dalba,Dim_Dalba,Uncertain after the Battle of Bastards,,Person
Kurleket,Kurleket,Deceased,,Person
Arthur,Arthur_(little_bird),Alive,,Person
Lannister bannerman,Lannister_bannerman_3_(The_Ghost_of_Harrenhal),Alive,,Person
Lannister bannerman,Lannister_bannerman_2_(The_Ghost_of_Harrenhal),Alive,,Person
Lannister bannerman,Lannister_bannerman_1_(The_Ghost_of_Harrenhal),Alive,,Person
Reginald Lannister,Reginald_Lannister,Alive,,Person
Yandel,Yandel,Alive,,Person
Theomar Smallwood,Theomar_Smallwood,Alive,,Person
Maegor's Holdfast,Maegor%27s_Holdfast,In use,Tower,Location
Mhaegen,Mhaegen,Alive,,Person
Haystack Hall,Haystack_Hall,,Castle,Location
Daisy,Daisy,Uncertain after the murder of Ros by Joffrey Baratheon,,Person
Stark soldier,Stark_soldier_(Valar_Morghulis),Deceased,,Person
Armeca,Armeca,Alive,,Person
House Cargyll,House_Cargyll,,,House
House Velaryon,House_Velaryon,,,House
House Thorne,House_Thorne,,,House
House Slynt,House_Slynt,,,House
House Rykker,House_Rykker,,,House
House Gaunt,House_Gaunt,,,House
House Chelsted,House_Chelsted,,,House
House Blount,House_Blount,,,House
Wyllis Bracken,Wyllis_Bracken,Alive,,Person
Bethany Bracken,Bethany_Bracken,Deceased,,Person
House Hollard,House_Hollard,,,House
House Durwell,House_Durwell,,,House
House Rowan,House_Rowan,,,House
House Oakheart,House_Oakheart,,,House
House Merryweather,House_Merryweather,,,House
House Leygood,House_Leygood,,,House
House Bulwer,House_Bulwer,,,House
House Beesbury,House_Beesbury,,,House
House Ashford,House_Ashford,,,House
Symun Fossoway,Symun_Fossoway,Alive,,Person
Cider Hall,Cider_Hall,,Castle,Location
House Corbray,House_Corbray,,,House
Skirling Pass,Skirling_Pass,,Mountain pass,Location
Addam Velaryon,Addam_Velaryon,Deceased,,Person
Great Tourney at Harrenhal,Great_Tourney_at_Harrenhal,,,Location
Symon Hollard,Symon_Hollard,Deceased,,Person
House Payne,House_Payne,,,House
House Lefford,House_Lefford,,,House
Garibald Tarwick,Garibald_Tarwick,Alive,,Person
Lollys Stokeworth,Lollys_Stokeworth,Alive,,Person
House Lannister of Lannisport,House_Lannister_of_Lannisport,,,House
House Estermont,House_Estermont,,,House
Cassana Baratheon,Cassana_Baratheon,Deceased,,Person
Jon Karstark,Jon_Karstark,Deceased,,Person
Laurence Karstark,Laurence_Karstark,Deceased,,Person
Petyr Karstark,Petyr_Karstark,Deceased,,Person
Berrican Karstark,Berrican_Karstark,Deceased,,Person
Barra,Barra,Deceased,,Person
Melessa Tarly,Melessa_Tarly,Alive,,Person
Talla Tarly,Talla_Tarly,Alive,,Person
Colloquo Votar,Colloquo_Votar,Deceased,,Person
Regan Karstark,Regan_Karstark,Deceased,,Person
Vance Corbray,Vance_Corbray,Alive,,Person
Varly,Varly,Deceased,,Person
Lord Ashford,Ashford_(Lord),Alive,,Person
Stark messenger,Stark_messenger,Uncertain,,Person
Stark guard,Stark_guard_(A_Man_Without_Honor),Uncertain,,Person
Stark guard,Stark_guard_(Fire_and_Blood),Uncertain,,Person
Stark guard,Stark_guard_(The_Pointy_End),Uncertain,,Person
Tomard,Tomard,Alive,,Person
Mara Karstark,Mara_Karstark,Deceased,,Person
Beric Karstark,Beric_Karstark,Deceased,,Person
Ethan Glover,Ethan_Glover,,,Person
Falyse Stokeworth,Falyse_Stokeworth,Alive,,Person
Tanda Stokeworth,Tanda_Stokeworth,Alive,,Person
Greenstone,Greenstone,,Castle,Location
Lord Stokeworth,Stokeworth_(Lord),Deceased,,Person
House Tarwick,House_Tarwick,,,House
The Sack of King's Landing,The_Sack_of_King%27s_Landing,,,HistoriesNLore
Tommard Karstark,Tommard_Karstark,Deceased,,Person
Wex,Wex,Deceased,,Person
Hallyne,Hallyne,Alive,,Person
Rylene Florent,Rylene_Florent,Alive,,Person
Royal Steward,Royal_Steward,Alive,,Person
Anya Waynwood,Anya_Waynwood,Alive,,Person
Cley Cerwyn,Cley_Cerwyn,Alive,,Person
Waldra Frey,Waldra_Frey,Alive,,Person
Walda Frey,Walda_Frey_(The_Rains_of_Castamere),Alive,,Person
Serra Frey,Serra_Frey,Alive,,Person
Gyles Rosby,Gyles_Rosby,Alive,,Person
Sarra Frey,Sarra_Frey,Alive,,Person
Shirei Frey,Shirei_Frey,Alive,,Person
Neyela Frey,Neyela_Frey,Alive,,Person
Janeya Frey,Janeya_Frey,Alive,,Person
Freya Frey,Freya_Frey,Alive,,Person
Derwa Frey,Derwa_Frey,Alive,,Person
Frey,Frey_(founder),Deceased,,Person
Riverrun,Lord_of_Riverrun,,Castle- regional capital,Location
Merry Frey,Merry_Frey,Alive,,Person
Marianne Frey,Marianne_Frey,Alive,,Person
Arwaya Frey,Arwaya_Frey,Alive,,Person
Dwarf,Dwarf_5,Alive,,Person
Dwarf,Dwarf_4,Alive,,Person
Dwarf,Dwarf_3,Alive,,Person
Frances,Frances,Alive,,Person
Donnel Waynwood,Donnel_Waynwood,Alive,,Person
Jonquil,Jonquil,Deceased,,Person
Dwarf,Dwarf_2,Alive,,Person
Riverlands traveller,Riverlands_traveller,Alive,,Person
Massacre in the Red Keep,Massacre_in_the_Red_Keep,,,Event
Assassination of Jon Arryn,Assassination_of_Jon_Arryn,,,Event
Leo Lefford,Leo_Lefford,Uncertain,,Person
Nymeria,Nymeria_(direwolf),Alive,,Animal
Battle of the Green Fork,Battle_of_the_Green_Fork,,,Event
Alys Karstark,Alys_Karstark,Alive,,Person
Harald Karstark,Harald_Karstark,Deceased,,Person
Lady,Lady,Deceased,,Animal
Erena Glover,Erena_Glover,Alive,,Person
Gawen Glover,Gawen_Glover,Alive,,Person
Sybelle Glover,Sybelle_Glover,Alive,,Person
Clarenzo,Clarenzo,Alive,,Person
Walda Frey,Walda_Frey_(grandniece_of_Lord_Walder),Alive,,Person
The thin man,Thin_man,Alive,,Person
Jasper Arryn,Jasper_Arryn,Deceased,,Person
Bianca,Bianca,Alive,,Person
Izembaro,Izembaro,Alive,,Person
Aemma Arryn,Aemma_Arryn,Deceased,,Person
Ronnel Arryn,Ronnel_Arryn_(King),Deceased,,Person
Sharra Arryn,Sharra_Arryn,Deceased,,Person
Bobono,Bobono,Alive,,Person
Smiling Knight,Smiling_Knight,Deceased,,Person
Simon Toyne,Simon_Toyne,Deceased,,Person
Wickendon,Wickendon,,Town,Location
Bowen,Bowen,Determinant,,Person
Sheelba Square,Sheelba_Square,,Square- Theatre,Location
Strongsong,Strongsong,,Castle,Location
Sisterton,Sisterton,,Town,Location
Old Anchor,Old_Anchor,,Castle,Location
Longbow Hall,Longbow_Hall,,Castle,Location
Ironoaks,Ironoaks,,Castle,Location
Mummer,Mummer_3,Alive,,Person
Brusco,Brusco,Alive,,Person
Mummer,Mummer_2,Alive,,Person
The Redfort,The_Redfort,,Castle,Location
Mummer,Mummer_1,Alive,,Person
Musician,Musician_5_(The_Door),Alive,,Person
Musician,Musician_4_(The_Door),Alive,,Person
Dolf,Dolf,Deceased,,Person
Ulf,Ulf,Alive,,Person
Musician,Musician_3_(The_Door),Alive,,Person
Musician,Musician_2_(The_Door),Alive,,Person
Musician,Musician_1_(The_Door),Alive,,Person
Mummer,Mummer_(Margaery_Tyrell),Alive,,Person
Camello,Camello,Alive,,Person
Heart's Home,Heart%27s_Home,,Castle,Location
Coldwater,Coldwater,,Castle,Location
Vardis Egen,Vardis_Egen,Deceased,,Person
Chella,Chella,Alive,,Person
Timett,Timett,Alive,,Person
Shagga,Shagga,Alive,,Person
Shadowcats,Shadowcats,Active,Mammal,Animal
House Westerling,House_Westerling,,,House
Ashford,Ashford,,Castle and town,Location
Lhara,Lhara,Alive,,Person
Brea,Brea,Alive,,Person
House Sarsfield,House_Sarsfield,,,House
Tumbleton,Tumbleton,,Castle,Location
Gunthor,Gunthor,Uncertain,,Person
House Crakehall,House_Crakehall,,,House
Surrender of the Crag,Surrender_of_the_Crag,,,Event
Battle of the Yellow Fork,Battle_of_the_Yellow_Fork,,,Event
Joss Stilwood,Joss_Stilwood,Alive,,Person
Lions,Lions,Nigh-extinct in Westeros - active in many regions of Essos .,Mammal,Animal
Cheyk,Cheyk,Uncertain,,Person
Clegane,Clegane_(founder),Deceased,,Person
Fegg,Fegg,Alive,,Person
House Clegane,House_Clegane,,,House
Innkeeper,Innkeeper,Alive,,Person
Lowell,Lowell,Deceased,,Person
Old Oak,Old_Oak,,Castle,Location
Dark Sister,Dark_Sister,Missing,,Weapon
Stableboy,Stableboy,Deceased,,Person
Bathhouse prostitute,Bathhouse_prostitute,Alive,,Person
Ilyn Payne,Ilyn_Payne,Alive,,Person
Eldrick Sarsfield,Eldrick_Sarsfield,Alive,,Person
House Marbrand,House_Marbrand,,,House
Cedric Forrester,Cedric_Forrester,Deceased,,Person
Gerhard Forrester,Gerhard_Forrester,Deceased,,Person
Burton Crakehall,Burton_Crakehall,Deceased,,Person
Braavosi Madam,Braavosi_madam,Alive,,Person
Desmond Crakehall,Desmond_Crakehall,Alive,,Person
Braavosi prostitute,Braavosi_prostitute,Alive,,Person
House Branfield,House_Branfield,,,House
Thorren Forrester,Thorren_Forrester,Deceased,,Person
Malcolm Branfield,Malcolm_Branfield,Alive,,Person
Battle of Stone Mill,Battle_of_Stone_Mill,,,Event
Eglantine,Eglantine,Alive,,Person
Masha Heddle,Masha_Heddle,Uncertain,,Person
Lommy,Lommy,Deceased,,Person
Raid by the Gods Eye,Raid_by_the_Gods_Eye,,,Event
Dying man,Dying_man,Deceased,,Person
Vaith,Vaith,,Castle,Location
House Rosby,House_Rosby,,,House
Blackfyre,Blackfyre,Missing,,Weapon
Nightsong,Nightsong,,Castle,Location
Aya,Aya,Alive,,Person
Croft,Croft,Alive,,Person
Lost Legion,Lost_Legion,Active,Sellsword company,Organization
Talia Branfield,Talia_Branfield,Deceased,,Person
Lord Branfield,Branfield_(Lord),Deceased,,Person
Anara,Anara,Alive,,Person
Wyl,Wyl_(castle),,Castle,Location
Stone Mill,Stone_Mill,,Mill,Location
Bryan,Bryan,Uncertain,,Person
Yronwood,Yronwood,,Castle,Location
Hellholt,Hellholt,,Castle,Location
Prisoner,Prisoner,Deceased,,Person
Lucan,Lucan_(Telltale),Alive,,Person
Muddy Way,Muddy_Way,,Street,Location
Godwyn,Godwyn,Alive,,Person
Damien,Damien,Deceased,,Person
Tom,Tom_(Telltale),Determinant,,Person
Whore,Whore_(The_Stranger),Alive,,Person
Whore,Whore_(Mother_of_Dragons),Alive,,Person
Planky Town,Planky_Town,,Port Town,Location
High Septon,High_Septon_(War_of_Conquest),Deceased,,Person
Daeron I Targaryen,Daeron_I_Targaryen,Deceased,,Person
Dragon's Wroth,Dragon%27s_Wroth,,,Event
Attempt of assassination on Aegon I,Attempt_of_assassination_on_Aegon_I,,,Event
Siege of Hellholt,Siege_of_Hellholt,,,Event
Assault on Oldtown,Assault_on_Oldtown,,,Event
Uprising in Sunspear,Uprising_in_Sunspear,,,Event
Occupation of Sunspear,Occupation_of_Sunspear,,,Event
Bezzaq,Bezzaq,Deceased,,Person
Dezhor zo Raza,Dezhor_zo_Raza,Determinant,,Person
Kieran,Kieran,Alive,,Person
Penn,Penn,Alive,,Person
Therrond,Therrond,Alive,,Person
Nail,Nail,Alive,,Person
Rhogar,Rhogar,Uncertain,,Person
Tazal,Tazal,Determinant,,Person
Jodan,Jodan,Alive,,Person
Battle of Yunkai,Battle_of_Yunkai,,,Event
Joffrey Dayne,Joffrey_Dayne,Deceased,,Person
Clea,Clea,Alive,,Person
Red Harbor,Red_Harbor,,Harbor town,Location
Ten Towers,Ten_Towers,,Castle,Location
Fair Isle,Fair_Isle,Inhabited,Island,Location
Josera Snow,Josera_Snow,Alive,,Person
Gregor Forrester,Gregor_Forrester,Deceased,,Person
Torrhen Whitehill,Torrhen_Whitehill,Alive,,Person
Whitehill soldier,Whitehill_soldier_1,Deceased,,Person
Rickard Morgryn,Rickard_Morgryn,Alive,,Person
Ethan Forrester,Ethan_Forrester,Deceased,,Person
Andros,Andros,Deceased,,Person
Ebbert Whitehill,Ebbert_Whitehill,Alive,,Person
Karl Whitehill,Karl_Whitehill,Deceased,,Person
House Ryswell,House_Ryswell,,,House
Arthur Glenmore,Arthur_Glenmore,Deceased,,Person
Lord Glenmore,Glenmore_(Lord),Alive,,Person
House Glenmore,House_Glenmore,,,House
Kingdom of the Rivers and Hills,Kingdom_of_the_River_and_the_Hills,,Feudal  hereditary  absolute  monarchy; Kingdom,Location
Lady Whitehill,Whitehill_(Lady),Deceased,,Person
The Reach,Kingdom_of_the_Reach,,Feudal  hereditary  absolute  monarchy; Kingdom,Location
Kingdom of the Rock,Kingdom_of_the_Rock,,Feudal  hereditary  absolute  monarchy; Kingdom,Location
Rhaenys Targaryen,Rhaenys_Targaryen_(sister_of_Aegon_I),Deceased,,Person
Argilac Durrandon,Argilac_Durrandon,Deceased,,Person
Shadow,Shadow_(snow_bear),Alive,,Animal
Last Storm,Last_Storm,,,Event
Valyria,Old_Valyria,In ruins,Greyscale quarantine area; Capital city (formerly),Location
Mern IX Gardener,Mern_IX_Gardener,Deceased,,Person
Principality of Dorne,Principality_of_Dorne,,Feudal hereditary absolute monarchy; Principality,Location
Summerhall,Summerhall,Ruined,Castle,Location
Rhaegel Targaryen,Rhaegel_Targaryen,Deceased,,Person
Aerys I Targaryen,Aerys_I_Targaryen,Deceased,,Person
Whispering Wood,Whispering_Wood,,Forest,Location
Lord Harroway's Town,Lord_Harroway%27s_Town,,Town,Location
Saltpans,Saltpans,,Village,Location
Pennytree,Pennytree,,Town,Location
Stoney Sept,Stoney_Sept,,Town,Location
Pinkmaiden,Pinkmaiden,,Castle,Location
Maidenpool,Maidenpool,,Town,Location
Assassination of Ethan Forrester,Assassination_of_Ethan_Forrester,,,Event
Kingdom of the Isles and the Rivers,Kingdom_of_the_Isles_and_the_Rivers,,Feudal  elective  absolute  monarchy; Kingdom,Location
Alester Tyrell,Alester_Tyrell,,,Person
Acorn Hall,Acorn_Hall,,Castle,Location
Raventree Hall,Raventree_Hall,,Castle,Location
Stone Hedge,Stone_Hedge,,Castle,Location
The Vulture King,Vulture_King,Deceased,,Person
Ternesio Terys,Ternesio_Terys,Alive,,Person
Sam Tarly,Sam_Tarly,Deceased,,Person
Orys Baratheon,Orys_Baratheon,Deceased,,Person
Aenys I Targaryen,Aenys_Targaryen,Deceased,,Person
Horned Lord,Horned_Lord,Deceased,,Person
Fairmarket,Fairmarket,,Town,Location
Wendish Town,Wendish_Town,,Town,Location
Attempted Murder of Mira Forrester,Attempted_Murder_of_Mira_Forrester,,,Event
Skirmish at the Tuttle Farm,Skirmish_at_the_Tuttle_Farm,,,Event
Garlan Tyrell,Garlan_Tyrell,,,Person
Willas Tyrell,Willas_Tyrell,,,Person
The Last Dragons,The_Last_Dragons,,,HistoriesNLore
"House Martell, Princes of Dorne","House_Martell,_Princes_of_Dorne",,,HistoriesNLore
"House Arryn, Kings of the Vale","House_Arryn,_Kings_of_the_Vale",,,HistoriesNLore
Heartsbane,Heartsbane,With Samwell,,Weapon
Assassination of Renly Baratheon,Assassination_of_Renly_Baratheon,,,Event
"House Stark, The Kings of Winter","House_Stark,_The_Kings_of_Winter",,,HistoriesNLore
"House Lannister, Kings of the Rock & House Gardener, Kings of the Reach","House_Lannister,_Kings_of_the_Rock_%26_House_Gardener,_Kings_of_the_Reach",,,HistoriesNLore
"Aegon, First of His Name","Aegon,_First_of_His_Name",,,HistoriesNLore
"House Durrandon, the Storm Kings","House_Durrandon,_the_Storm_Kings",,,HistoriesNLore
"House Hoare, Ironborn Kings of the Riverlands","House_Hoare,_Ironborn_Kings_of_the_Riverlands",,,HistoriesNLore
Invasion,Invasion,,,HistoriesNLore
Prophecies of the Known World,Prophecies_of_the_Known_World,,,HistoriesNLore
The Hand of the King,The_Hand_of_the_King,,,HistoriesNLore
Highgarden,Highgarden_(Histories_%26_Lore),,,HistoriesNLore
Capture of the Whitehill Garrison,Capture_of_the_Whitehill_Garrison,,,Event
Casterly Rock,Casterly_Rock_(Histories_%26_Lore),,,HistoriesNLore
Raymun Redbeard,Raymun_Redbeard,Deceased,,Person
The Citadel,The_Citadel_(Histories_%26_Lore),,,HistoriesNLore
Great Sept of Baelor,Great_Sept_of_Baelor_(Histories_%26_Lore),,,HistoriesNLore
House Tarly,House_Tarly_(Histories_%26_Lore),,,HistoriesNLore
Knights of the Vale,Knights_of_the_Vale_(Histories_%26_Lore),,,HistoriesNLore
House Dayne,House_Dayne_(Histories_%26_Lore),,,HistoriesNLore
The Little Birds,The_Little_Birds,,,HistoriesNLore
The Dragonpit,The_Dragonpit,,,HistoriesNLore
Oldtown,Oldtown_(Histories_%26_Lore),,,HistoriesNLore
Riverrun,Riverrun_(Histories_%26_Lore),,,HistoriesNLore
Brotherhood Without Banners,Brotherhood_Without_Banners_(Histories_%26_Lore),,,HistoriesNLore
The Dothraki,The_Dothraki,,,HistoriesNLore
Children of the Forest vs. the First Men,Children_of_the_Forest_vs._the_First_Men,,,HistoriesNLore
Vaes Dothrak,Vaes_Dothrak_(Histories_%26_Lore),,,HistoriesNLore
War of the Ninepenny Kings,War_of_the_Ninepenny_Kings_(Histories_%26_Lore),,,HistoriesNLore
The Summer Sea,The_Summer_Sea,,,HistoriesNLore
High Septon,High_Septon_(Stonemason),Deceased,,Person
The Kingsmoot,The_Kingsmoot_(Histories_%26_Lore),,,HistoriesNLore
High Septon,High_Septon_(Baelor),Deceased,,Person
Lord Belgrave,Belgrave_(Lord),Deceased,,Person
High Septon,High_Septon_(Boy),Deceased,,Person
Owen Merryweather,Owen_Merryweather,,,Person
Illyrio Mopatis' first wife,Illyrio_Mopatis%27s_first_wife,Uncertain,,Person
Godsway,Godsway,Active,,Location
Horse Gate,Horse_Gate,,Gate,Location
Axel Tully,Axel_Tully,Deceased,,Person
Port Plunder,Barter_Beach,,Town / Pirate den,Location
Whore's Gash,Whore%27s_Gash,,Town / Pirate den,Location
Sty,Sty,,Town / Pirate den,Location
Port Plunder,Port_Plunder,,Town / Pirate den,Location
Ibbenese,Ibbenese,Active,,PersonType
Shadow Men,Shadow_Men,Active,,PersonType
Theron,Theron,Deceased,,Person
Mazemakers,Mazemakers,,Builders,Organization
Quillion,Quillion,Deceased,,Person
Black Wall,Black_Wall,,,Location
Jellicoe,Jellicoe,Deceased,,Person
The Old Way,The_Old_Way,,,HistoriesNLore
The Great Masters of Meereen,The_Great_Masters_of_Meereen,,,HistoriesNLore
Greyscale & The Stone Men,Greyscale_%26_The_Stone_Men,,,HistoriesNLore
The Fighting Pits of Meereen,The_Fighting_Pits_of_Meereen,,,HistoriesNLore
Dorne,Dorne_(Histories_%26_Lore),,,HistoriesNLore
The Lord Commanders,The_Lord_Commanders,,,HistoriesNLore
Winterfell,Winterfell_(Histories_%26_Lore),,,HistoriesNLore
Cragorn,Cragorn,Alive,,Person
The Faceless Men,The_Faceless_Men,,,HistoriesNLore
Braavos,Braavos_(Histories_%26_Lore),,,HistoriesNLore
Volantis,Volantis_(Histories_%26_Lore),,,HistoriesNLore
Areo Hotah,Areo_Hotah,Deceased,,Person
The Many-Faced God,The_Many-Faced_God,,,HistoriesNLore
Maron Martell,Maron_Martell,Deceased,,Person
Meria Martell,Meria_Martell,Deceased,,Person
Wolfswood,Wolfswood,,Forest,Location
Rillwater Crossing,Rillwater_Crossing,,Castle,Location
Myriah Martell,Myriah_Martell,Deceased,,Person
Daenerys Targaryen,Daenerys_Targaryen_(daughter_of_Aegon_IV),Deceased,,Person
Nymor Martell,Nymor_Martell,Deceased,,Person
Wineseller,Wineseller,Deceased,,Person
Flint's Finger,Flint%27s_Finger,,Castle,Location
Greywater Watch,Greywater_Watch,,Castle,Location
Old Castle,Oldcastle,,Castle,Location
Widow's Watch,Widow%27s_Watch,,Castle,Location
Ramsgate,Ramsgate,,Castle,Location
Winter town,Winter_town,,Town,Location
Garin,Garin_the_Great,Deceased,,Person
Tiger cloaks,Tiger_cloaks,Active,Slave soldiers,Organization
Temple of the Lord of Light,Temple_of_the_Lord_of_Light_(Volantis),,Religious headquarters,Location
Uthero Zalyne,Uthero_Zalyne,Deceased,,Person
Sweetwater River,Sweetwater_River,,Aqueduct,Location
Albin Manwoody,Albin_Manwoody,Deceased,,Person
Lucifer Dryland,Lucifer_Dryland,Deceased,,Person
Garrison Fowler,Garrison_Fowler,Deceased,,Person
Yorick V Yronwood,Yorick_V_Yronwood,Deceased,,Person
Little Bird,Little_Bird_(You_Win_or_You_Die),Alive,,Person
Silver,The_silver,Deceased,,Animal
Seagard,Seagard,,Castle,Location
Assault on the Dreadfort,Assault_on_the_Dreadfort,,,Event
The Seven-Pointed Star,The_Seven-Pointed_Star_(Histories_%26_Lore),,,HistoriesNLore
Justice of the Seven Kingdoms,Justice_of_the_Seven_Kingdoms,,,HistoriesNLore
Valyrian Steel,Valyrian_Steel_(Histories_%26_Lore),,,HistoriesNLore
The Death of Kings,The_Death_of_Kings,,,HistoriesNLore
The Kingsguard,The_Kingsguard_(Histories_%26_Lore),,,HistoriesNLore
The Nations of the North,The_Nations_of_the_North,,,HistoriesNLore
The Wall,The_Wall_(Histories_%26_Lore),,,HistoriesNLore
Sellswords & Hedge Knights,Sellswords_%26_Hedge_Knights,,,HistoriesNLore
The Iron Bank of Braavos,The_Iron_Bank_of_Braavos_(Histories_%26_Lore),,,HistoriesNLore
House Martell,House_Martell_(Histories_%26_Lore),,,HistoriesNLore
The Vale,The_Vale_(Histories_%26_Lore),,,HistoriesNLore
Barbrey Dustin,Barbrey_Dustin,Alive,,Person
House Baelish,House_Baelish_(Histories_%26_Lore),,,HistoriesNLore
